iter	Passed	Remaining
0	1	172
1	3	159
2	4	152
3	5	140
4	7	141
5	8	139
6	10	138
7	11	137
8	13	136
9	14	134
10	16	133
11	17	129
12	18	124
13	19	119
14	20	115
15	21	111
16	22	108
17	23	105
18	24	102
19	25	100
20	25	97
21	26	94
22	27	92
23	28	90
24	29	88
25	30	86
26	31	84
27	32	83
28	33	81
29	34	79
30	35	77
31	35	76
32	36	74
33	37	73
34	38	71
35	39	70
36	40	69
37	41	67
38	42	66
39	43	64
40	44	63
41	44	61
42	45	59
43	45	58
44	46	56
45	47	55
46	47	53
47	48	52
48	49	51
49	49	49
50	50	48
51	51	47
52	51	46
53	52	44
54	52	43
55	53	42
56	54	40
57	54	39
58	55	38
59	56	37
60	57	36
61	57	35
62	58	34
63	59	33
64	59	32
65	60	31
66	61	30
67	61	29
68	62	28
69	63	27
70	63	26
71	64	25
72	65	24
73	65	23
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	69	17
80	70	16
81	71	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	80	3
96	81	2
97	82	1
98	82	0
99	83	0
